part,full,no_blip,no_yolo,no_asr,no_ast
[meta],titanic-1997-mkv-full,titanic-1997-mkv-no-blip,titanic-1997-mkv-no-yolo,titanic-1997-mkv-no-asr,titanic-1997-mkv-no-ast
[nodes],433,357 (-17.6%),402 (-7.2%),461 (+6.5%),467 (+7.9%)
  -> node_character,21,21 (+0.0%),16 (-23.8%),20 (-4.8%),12 (-42.9%)
  -> node_object,20,28 (+40.0%),16 (-20.0%),20 (+0.0%),10 (-50.0%)
  -> node_location,21,13 (-38.1%),13 (-38.1%),20 (-4.8%),10 (-52.4%)
  -> node_action,217,174 (-19.8%),206 (-5.1%),272 (+25.3%),263 (+21.2%)
  -> node_emotion,10,15 (+50.0%),12 (+20.0%),10 (+0.0%),10 (+0.0%)
  -> node_topic,144,106 (-26.4%),139 (-3.5%),119 (-17.4%),162 (+12.5%)
[relationships:narrative],10215,6673 (-34.7%),9723 (-4.8%),10810 (+5.8%),12263 (+20.0%)
  -> rel_next,1854,1854 (+0.0%),1854 (+0.0%),1854 (+0.0%),1854 (+0.0%)
  -> rel_has_topic,6359,2892 (-54.5%),6285 (-1.2%),7966 (+25.3%),8001 (+25.8%)
  -> rel_does,409,307 (-24.9%),384 (-6.1%),354 (-13.4%),634 (+55.0%)
  -> rel_interacts_with,26,8 (-69.2%),8 (-69.2%),29 (+11.5%),6 (-76.9%)
  -> rel_involves,133,114 (-14.3%),121 (-9.0%),84 (-36.8%),132 (-0.8%)
  -> rel_targets,55,90 (+63.6%),66 (+20.0%),26 (-52.7%),56 (+1.8%)
  -> rel_feels,411,450 (+9.5%),369 (-10.2%),426 (+3.6%),504 (+22.6%)
  -> rel_speaks_to,96,66 (-31.2%),83 (-13.5%),8 (-91.7%),103 (+7.3%)
  -> rel_mentions,872,892 (+2.3%),553 (-36.6%),63 (-92.8%),973 (+11.6%)
[relationships:spatial],7412,6140 (-17.2%),5462 (-26.3%),9056 (+22.2%),6738 (-9.1%)
  -> rel_is_shown_in,2067,1280 (-38.1%),1598 (-22.7%),2534 (+22.6%),1815 (-12.2%)
  -> rel_occurs_in,2586,2623 (+1.4%),2118 (-18.1%),2149 (-16.9%),2294 (-11.3%)
  -> rel_in,1787,1143 (-36.0%),1067 (-40.3%),2369 (+32.6%),1571 (-12.1%)
  -> rel_near,865,969 (+12.0%),610 (-29.5%),1669 (+92.9%),954 (+10.3%)
  -> rel_left_of,5,43 (+760.0%),1 (-80.0%),24 (+380.0%),9 (+80.0%)
  -> rel_right_of,5,43 (+760.0%),1 (-80.0%),24 (+380.0%),9 (+80.0%)
  -> rel_in_front_of,42,16 (-61.9%),28 (-33.3%),115 (+173.8%),33 (-21.4%)
  -> rel_behind,42,16 (-61.9%),28 (-33.3%),115 (+173.8%),33 (-21.4%)
  -> rel_on,13,7 (-46.2%),11 (-15.4%),57 (+338.5%),19 (+46.2%)
  -> rel_inside,0,0,0,0,1
[relationships:temporal],2008,2291 (+14.1%),1794 (-10.7%),1413 (-29.6%),1801 (-10.3%)
  -> rel_causes,345,475 (+37.7%),286 (-17.1%),202 (-41.4%),274 (-20.6%)
  -> rel_continues_into,666,691 (+3.8%),629 (-5.6%),356 (-46.5%),608 (-8.7%)
  -> rel_after,236,273 (+15.7%),216 (-8.5%),217 (-8.1%),236 (+0.0%)
  -> rel_before,236,273 (+15.7%),216 (-8.5%),217 (-8.1%),236 (+0.0%)
  -> rel_overlaps,525,579 (+10.3%),447 (-14.9%),421 (-19.8%),447 (-14.9%)
[meta:error],,,,,
